star.thisTrialN,star.stepSize,star.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,star.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.025299900211393833,,0.013578500133007765,0.025299900211393833,0.5440887003205717,0.5440887003205717,0.5594647000543773,0.8429076001048088,2.5697069000452757,left,-10.0,0,0,2.0197776998393238,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
1,1,12.0,2.591119300108403,,2.5698633999563754,2.591119300108403,3.0761009003035724,3.0761009003035724,3.092104600276798,3.3755117999389768,3.8308990001678467,right,12.0,1,1,0.7402922003529966,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
2,1,11.0,3.842113499995321,,3.8310209000483155,3.842113499995321,4.341485000215471,4.341485000215471,4.341485000215471,4.642336300108582,4.964868600014597,left,-11.0,1,1,0.6179194003343582,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
3,1,11.0,4.974983500316739,,4.964983300305903,4.974983500316739,5.475235800258815,5.475235800258815,5.475235800258815,5.775516900233924,6.298096800222993,right,11.0,1,1,0.809288099873811,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
4,1,11.0,6.308705400209874,,6.298214100301266,6.308705400209874,6.8086574003100395,6.8086574003100395,6.8086574003100395,7.108491300139576,7.313392700161785,right,11.0,0,0,0.49454039987176657,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
5,1,12.0,7.324238100089133,,7.313518000300974,7.324238100089133,7.825635599903762,7.825635599903762,7.825635599903762,8.125082000158727,8.66389730013907,left,-12.0,1,1,0.8310200003907084,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
6,1,12.0,8.675339499954134,,8.66399889998138,8.675339499954134,9.174912900198251,9.174912900198251,9.174912900198251,9.474763300269842,9.780169600155205,left,-12.0,1,1,0.5941118001937866,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
7,0.5,12.0,9.791521400213242,,9.780287700239569,9.791521400213242,10.29158140020445,10.29158140020445,10.29158140020445,10.591182200238109,10.764579399954528,left,-12.0,1,1,0.47031170036643744,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
8,0.5,11.5,10.77515170024708,,10.764707500115037,10.77515170024708,11.27490680012852,11.27490680012852,11.27490680012852,11.574592499993742,11.746773300226778,right,11.5,1,1,0.464109200052917,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
9,0.5,11.5,11.758031700272113,,11.74691030010581,11.758031700272113,12.258406800217927,12.258406800217927,12.258406800217927,12.557718200143427,14.47947490029037,left,-11.5,0,0,2.208667099941522,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
10,0.5,12.0,14.491425900254399,,14.479590800125152,14.491425900254399,14.990913700312376,14.990913700312376,14.990913700312376,15.291051399894059,15.863573300186545,right,12.0,1,1,0.8600257001817226,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
11,0.5,12.0,15.87397939991206,,15.863688100129366,15.87397939991206,16.374707499984652,16.374707499984652,16.374707499984652,16.673733500298113,16.880891799926758,right,12.0,1,1,0.5036253998987377,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
12,0.5,12.0,16.890514200087637,,16.881014100275934,16.890514200087637,17.390997299924493,17.390997299924493,17.390997299924493,17.690643799956888,17.862715400289744,right,12.0,1,1,0.455082300119102,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
13,0.5,11.5,17.87404019990936,,17.862841000314802,17.87404019990936,18.37377420021221,18.37377420021221,18.37377420021221,18.67477359995246,18.77988260006532,right,11.5,1,1,0.4000438000075519,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
14,0.5,11.5,18.79037950001657,,18.779996800236404,18.79037950001657,19.290434800088406,19.290434800088406,19.290434800088406,19.5905773001723,19.846444699913263,left,-11.5,1,1,0.5465549998916686,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
15,0.5,11.5,19.856840000022203,,19.846594200003892,19.856840000022203,20.35740920016542,20.35740920016542,20.35740920016542,20.657670800108463,20.812580700032413,left,-11.5,1,1,0.4476747000589967,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
16,0.5,11.0,20.823927000164986,,20.812727000098675,20.823927000164986,21.32339570019394,21.32339570019394,21.32339570019394,21.622709000017494,21.86379209998995,left,-11.0,1,1,0.5238716001622379,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
17,0.5,11.0,21.873500800225884,,21.863913600333035,21.873500800225884,22.37343480018899,22.37343480018899,22.37343480018899,22.673420100007206,22.912748400121927,right,11.0,1,1,0.5311251999810338,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
18,0.5,11.0,22.923330100253224,,22.912864699959755,22.923330100253224,23.423207100015134,23.423207100015134,23.423207100015134,23.723015000112355,23.82915010023862,left,-11.0,0,0,0.3995024999603629,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
19,0.5,11.5,23.839852900244296,,23.829270800109953,23.839852900244296,24.339606100227684,24.339606100227684,24.339606100227684,24.639973500277847,24.96271560015157,right,11.5,1,1,0.6170524000190198,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
20,0.5,11.5,24.972785300109535,,24.96283120010048,24.972785300109535,25.472856500186026,25.472856500186026,25.472856500186026,25.77312000002712,25.995881699956954,right,11.5,1,1,0.5208879997953773,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
21,0.5,11.5,26.006000500172377,,25.995996000245214,26.006000500172377,26.506340899970382,26.506340899970382,26.506340899970382,26.806497500278056,26.961735799908638,left,-11.5,0,0,0.4459988996386528,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
22,0.5,12.0,26.97267200006172,,26.96188750024885,26.97267200006172,27.472830300219357,27.472830300219357,27.472830300219357,27.77264520013705,28.144774000160396,left,-12.0,1,1,0.6616191999055445,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
23,0.5,12.0,28.15583060029894,,28.144899500068277,28.15583060029894,28.65517200017348,28.65517200017348,28.65517200017348,28.955719500314444,28.977904800325632,right,12.0,0,0,0.30719960015267134,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
