trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0351294,,0.0288588,1.0137036,1.6472103,up,1,0.6190113,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
1,0,1,0,1.6580988,,1.6523725,2.6510565,3.4888643,up,0,0.8300883,None,2,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
2,0,2,0,3.5011884,,3.4924718,4.5010784,5.3702735,down,0,0.8583612,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
3,0,3,0,5.3839775,,5.3727641,6.3847603,7.1861531,up,0,0.7842245,None,-2,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
4,0,4,0,7.2005674,,7.189061,8.2009408,8.5862966,up,1,0.3773422,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
5,0,5,0,8.6002033,,8.5893323,9.6003896,9.7363082,down,0,0.1253971,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
6,0,6,0,9.7505544,,9.7402746,10.7502654,10.852975,down,0,None,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
7,0,7,0,10.8672371,,10.855677,11.8670965,12.2714777,down,0,0.4000967,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
8,0,8,0,12.2833508,,12.2758057,13.2839407,13.6849984,down,1,0.3849463,None,3,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
9,0,9,0,13.6996169,,13.6884957,14.699635,14.8032855,down,1,0.0971623,None,4,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
10,0,10,0,14.8166693,,14.8061304,15.8161192,16.1695506,down,0,0.3494465,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
11,0,11,0,16.1825221,,16.1725558,17.1826536,17.7369524,down,0,0.54668,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
12,0,12,0,17.7491726,,17.7399429,18.7491195,19.435094,down,1,0.6734111,None,2,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
13,0,13,0,19.4487909,,19.4385334,20.4491254,20.5846233,up,0,0.1271517,None,2,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
14,0,14,0,20.5988276,,20.5876923,21.5995723,22.2851266,down,0,0.6756134,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
15,0,15,0,22.2987945,,22.2877768,23.2986877,23.9032416,down,1,0.6005633,None,-4,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
16,0,16,0,23.9151751,,23.906482,24.9154526,25.4709267,up,1,0.5473597,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
17,0,17,0,25.4863821,,25.4759744,26.4817183,26.7506529,down,0,0.258318,None,0,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
18,0,18,0,26.7645608,,26.7540678,27.76492,27.9008416,down,1,0.1309196,None,-2,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
19,0,19,0,27.9144315,,27.9042585,28.9146292,29.869127,up,0,0.949027,None,-4,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
20,0,20,0,29.8809255,,29.8736057,30.881129,30.9672433,up,0,0.0705188,None,4,156217,1,2024-09-17_17h53.05.797,fourth_experiment,2024.1.5,None,2024-09-17 17h53.15.538691 +0530
